Date,Open,High,Low,Close,Adj Close,Volume
2016-12-06,48.259998,48.259998,48.259998,48.259998,43.278954,100
2016-12-07,48.259998,48.259998,48.259998,48.259998,43.278954,0
2016-12-08,48.259998,48.259998,48.259998,48.259998,43.278954,0
2016-12-09,48.259998,48.259998,48.259998,48.259998,43.278954,0
2016-12-12,48.259998,48.259998,48.259998,48.259998,43.278954,0
2016-12-13,49.669998,49.669998,49.669998,49.669998,44.543423,200
2016-12-14,49.669998,49.669998,49.669998,49.669998,44.543423,0
2016-12-15,49.669998,49.669998,49.669998,49.669998,44.543423,0
2016-12-16,49.669998,49.669998,49.669998,49.669998,44.543423,0
2016-12-19,49.669998,49.669998,49.669998,49.669998,44.543423,0
2016-12-20,49.669998,49.669998,49.669998,49.669998,44.543423,0
2016-12-21,49.669998,49.669998,49.669998,49.669998,44.543423,0
2016-12-22,49.669998,49.669998,49.669998,49.669998,44.543423,0
2016-12-23,49.630001,49.630001,49.310001,49.310001,44.220577,300
2016-12-27,49.310001,49.310001,49.310001,49.310001,44.220577,0
2016-12-28,49.310001,49.310001,49.310001,49.310001,44.220577,0
2016-12-29,49.090000,49.139999,49.090000,49.125999,44.055569,4500
2016-12-30,49.125999,49.125999,49.125999,49.125999,44.055569,0
2017-01-03,49.125999,49.125999,49.125999,49.125999,44.055569,0
2017-01-04,49.125999,49.125999,49.125999,49.125999,44.055569,100
2017-01-05,49.125999,49.125999,49.125999,49.125999,44.055569,0
2017-01-06,49.860001,49.860001,49.860001,49.860001,44.713802,300
2017-01-09,49.650002,49.730000,49.639999,49.669998,44.543423,1000
2017-01-10,49.580002,49.750000,49.580002,49.750000,44.615173,200
2017-01-11,49.750000,49.750000,49.750000,49.750000,44.615173,0
2017-01-12,49.750000,49.750000,49.750000,49.750000,44.615173,0
2017-01-13,49.750000,49.750000,49.750000,49.750000,44.615173,0
2017-01-17,49.560001,49.560001,49.560001,49.560001,44.444767,200
2017-01-18,49.560001,49.560001,49.560001,49.560001,44.444767,200
2017-01-19,49.560001,49.560001,49.560001,49.560001,44.444767,0
2017-01-20,49.560001,49.560001,49.560001,49.560001,44.444767,0
2017-01-23,49.560001,49.560001,49.560001,49.560001,44.444767,0
2017-01-24,49.740002,49.910000,49.709000,49.910000,44.758659,3800
2017-01-25,49.910000,49.910000,49.910000,49.910000,44.758659,0
2017-01-26,49.910000,49.910000,49.910000,49.910000,44.758659,0
2017-01-27,50.139999,50.139999,50.139999,50.139999,44.964928,400
2017-01-30,50.139999,50.139999,50.139999,50.139999,44.964928,0
2017-01-31,50.139999,50.139999,50.139999,50.139999,44.964928,0
2017-02-01,50.139999,50.139999,50.139999,50.139999,44.964928,0
2017-02-02,50.139999,50.139999,50.139999,50.139999,44.964928,0
